date,count
2016-11-02,49
2017-01-06,105
2016-10-27,52
2016-09-15,17
2016-10-10,56
2016-08-13,1
2016-11-10,25
2017-01-30,139
2017-01-13,101
2016-10-18,44
2016-08-05,1
2016-11-18,23
2017-01-22,89
2016-11-03,59
2017-01-05,52
2016-10-26,50
2016-09-12,84
2016-10-09,33
2016-08-12,4
2016-11-11,26
2017-01-29,88
2016-09-29,268
2017-01-12,173
2016-10-17,44
2016-11-19,28
2017-01-21,137
2016-11-04,47
2016-10-25,48
2016-09-13,31
2017-01-11,117
2016-10-08,49
2016-11-12,20
2017-01-28,167
2016-09-26,2
2016-10-16,63
2016-11-20,17
2017-01-20,131
2016-09-18,529
2016-10-07,347
2016-11-05,55
2017-01-27,116
2016-10-24,46
2016-09-10,95
2017-01-10,87
2016-10-15,45
2016-11-13,22
2017-01-19,105
2016-03-18,1
2016-02-22,3
2016-10-23,46
2016-08-06,1
2016-11-21,32
2016-09-19,333
2016-02-05,1
2016-10-06,494
2016-11-06,57
2017-01-26,139
2016-10-31,49
2016-09-11,69
2016-02-29,1
2016-08-24,20
2017-01-09,101
2016-10-14,40
2016-11-14,19
2017-01-18,96
2016-09-03,1
2016-10-22,45
2016-11-22,18
2016-09-16,480
2016-10-05,12
2016-11-07,38
2017-01-25,98
2016-10-30,64
2016-09-08,56
2017-01-08,108
2016-10-13,47
2016-11-15,26
2017-01-17,76
2016-07-29,18
2016-08-19,3
2016-10-21,55
2016-09-17,834
2016-11-08,47
2017-01-24,166
2016-10-29,57
2016-09-30,95
2016-09-09,91
2017-01-15,95
2016-10-12,58
2016-08-03,9
2016-11-16,44
2017-01-16,103
2017-02-01,81
2016-10-03,2
2016-08-18,2
2016-11-01,35
2017-01-07,124
2016-10-20,34
2016-09-14,43
2016-10-11,57
2016-11-09,12
2017-01-31,103
2016-10-28,35
2017-01-14,148
2016-10-19,49
2016-11-17,37
2017-01-23,119
2016-09-23,222
2016-10-02,33
