date,count
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,0
2016-03-10,0
2016-03-11,0
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,0
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,0
2016-03-29,1
2016-03-30,0
2016-03-31,0
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,0
2016-04-27,0
2016-04-28,0
2016-04-29,1
2016-04-30,0
2016-05-01,0
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,0
2016-05-14,0
2016-05-15,0
2016-05-16,0
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,2
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
2016-06-02,0
2016-06-03,0
2016-06-04,1
2016-06-05,0
2016-06-06,0
2016-06-07,0
2016-06-08,4
2016-06-09,1
2016-06-10,1
2016-06-11,1
2016-06-12,3
2016-06-13,0
2016-06-14,0
2016-06-15,2
2016-06-16,2
2016-06-17,2
2016-06-18,0
2016-06-19,1
2016-06-20,2
2016-06-21,1
2016-06-22,0
2016-06-23,0
2016-06-24,4
2016-06-25,1
2016-06-26,0
2016-06-27,2
2016-06-28,5
2016-06-29,0
2016-06-30,0
2016-07-01,3
2016-07-02,4
2016-07-03,1
2016-07-04,0
2016-07-05,5
2016-07-06,3
2016-07-07,1
2016-07-08,0
2016-07-09,4
2016-07-10,0
2016-07-11,6
2016-07-12,5
2016-07-13,4
2016-07-14,10
2016-07-15,6
2016-07-16,2
2016-07-17,6
2016-07-18,15
2016-07-19,25
2016-07-20,7
2016-07-21,14
2016-07-22,48
2016-07-23,21
2016-07-24,10
2016-07-25,27
2016-07-26,38
2016-07-27,25
2016-07-28,11
2016-07-29,23
2016-07-30,27
2016-07-31,13
2016-08-01,12
2016-08-02,23
2016-08-03,41
2016-08-04,22
2016-08-05,17
2016-08-06,25
2016-08-07,43
2016-08-08,15
2016-08-09,10
2016-08-10,30
2016-08-11,33
2016-08-12,19
2016-08-13,14
2016-08-14,26
2016-08-15,28
2016-08-16,17
2016-08-17,17
2016-08-18,23
2016-08-19,39
2016-08-20,16
2016-08-21,19
2016-08-22,21
2016-08-23,37
2016-08-24,22
2016-08-25,15
2016-08-26,40
2016-08-27,8
2016-08-28,18
2016-08-29,2
2016-08-30,15
2016-08-31,27
2016-09-01,43
2016-09-02,10
2016-09-03,28
2016-09-04,35
2016-09-05,17
2016-09-06,21
2016-09-07,31
2016-09-08,57
2016-09-09,25
2016-09-10,17
2016-09-11,30
2016-09-12,14
2016-09-13,11
2016-09-14,11
2016-09-15,27
2016-09-16,42
2016-09-17,41
2016-09-18,31
2016-09-19,25
2016-09-20,40
2016-09-21,34
2016-09-22,16
2016-09-23,24
2016-09-24,36
2016-09-25,22
2016-09-26,35
2016-09-27,69
2016-09-28,34
2016-09-29,29
2016-09-30,12
2016-10-01,28
2016-10-02,39
2016-10-03,21
2016-10-04,20
2016-10-05,34
2016-10-06,31
2016-10-07,21
2016-10-08,12
2016-10-09,29
2016-10-10,83
2016-10-11,24
2016-10-12,20
2016-10-13,31
2016-10-14,31
2016-10-15,21
2016-10-16,17
2016-10-17,23
2016-10-18,39
2016-10-19,36
2016-10-20,60
2016-10-21,15
2016-10-22,30
2016-10-23,24
2016-10-24,15
2016-10-25,26
2016-10-26,29
2016-10-27,20
2016-10-28,13
2016-10-29,22
2016-10-30,26
2016-10-31,12
2016-11-01,15
2016-11-02,37
2016-11-03,31
2016-11-04,30
2016-11-05,15
2016-11-06,29
2016-11-07,23
2016-11-08,40
2016-11-09,34
2016-11-10,12
2016-11-11,1
2016-11-12,2
2016-11-13,4
2016-11-14,3
2016-11-15,0
2016-11-16,3
2016-11-17,4
2016-11-18,2
2016-11-19,0
2016-11-20,8
2016-11-21,2
2016-11-22,1
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,2
2016-12-02,1
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,1
2016-12-07,0
2016-12-08,1
2016-12-09,1
2016-12-10,2
2016-12-11,1
2016-12-12,1
2016-12-13,2
2016-12-14,3
2016-12-15,0
2016-12-16,1
2016-12-17,1
2016-12-18,0
2016-12-19,0
2016-12-20,2
2016-12-21,2
2016-12-22,0
2016-12-23,1
2016-12-24,3
2016-12-25,3
2016-12-26,0
2016-12-27,1
2016-12-28,1
2016-12-29,0
2016-12-30,0
2016-12-31,0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,1
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,2
2017-01-11,3
2017-01-12,0
2017-01-13,0
2017-01-14,2
2017-01-15,0
2017-01-16,2
2017-01-17,0
2017-01-18,2
2017-01-19,1
2017-01-20,1
2017-01-21,1
2017-01-22,1
2017-01-23,0
2017-01-24,0
2017-01-25,1
2017-01-26,2
2017-01-27,0
2017-01-28,1
2017-01-29,1
2017-01-30,1
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,4
2017-02-08,1
2017-02-09,0
2017-02-10,0
2017-02-11,1
2017-02-12,1
2017-02-13,0
2017-02-14,0
2017-02-15,2
2017-02-16,0
2017-02-17,0
2017-02-18,0
2017-02-19,1
2017-02-20,0
2017-02-21,1
2017-02-22,0
2017-02-23,1
2017-02-24,0
2017-02-25,1
2017-02-26,1
2017-02-27,0
2017-02-28,0
2017-03-01,2
2017-03-02,0
2017-03-03,1
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,1
2017-03-08,2
2017-03-09,0
2017-03-10,0
2017-03-11,2
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,1
2017-03-17,0
2017-03-18,1
2017-03-19,3
2017-03-20,1
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,2
2017-03-26,1
2017-03-27,0
2017-03-28,1
2017-03-29,0
2017-03-30,0
