"id","location","name","followers_count","statuses_count","time_zone","verified","lang","screen_name","description","created_at","favourites_count","friends_count","listed_count"
1039581360,Amerika,Dark Nally,22,22603,Jakarta,false,id,darknally,uptodate news!!!!,Thu Dec 27 13:06:58 +0000 2012,0,40,16
2495567768,"San Francisco, CA",San Francisco Daily,16812,32546,Pacific Time (US & Canada),false,en,DailySanFran,"Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran",Thu May 15 03:22:22 +0000 2014,1,5128,159
2547141851,"Chicago, IL",Chicago Daily News,19525,39293,Central Time (US & Canada),false,en,ChicagoDailyNew,"Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",Wed May 14 10:48:50 +0000 2014,10,7063,214
2570017414,"Memphis, TN",Memphis Online,18704,4223,Central Time (US & Canada),false,en,OnlineMemphis,"Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements",Thu May 29 01:01:16 +0000 2014,3,5751,113
2571870453,"Detroit, Michigan",Detroit Daily News,18617,18924,Central Time (US & Canada),false,en,DetroitDailyNew,"Local news, sports, business, politics, entertainment, travel and opinion for Detroit. DM us 24/7",Fri May 30 07:24:00 +0000 2014,4,5144,193
2587843805,"Kansas City, MO",KansasCityDailyNews,25356,42560,Central Time (US & Canada),false,en,KansasDailyNews,"Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",Fri Jun 06 19:56:04 +0000 2014,1,5169,166
2601235821,"Pittsburgh, PA",Pittsburgh Today,18917,32006,Eastern Time (US & Canada),false,en,TodayPittsburgh,"Pittsburgh's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",Wed Jun 11 14:24:00 +0000 2014,7,6350,145
2620614029,"Philadelphia, PA",Philadelphia Online,15904,9725,Eastern Time (US & Canada),false,en,PhiladelphiaON,"Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",Wed Jun 18 17:42:55 +0000 2014,4,5890,118
2624554209,"Los Angeles, CA",Los Angeles Daily,17851,7288,Pacific Time (US & Canada),false,en,DailyLosAngeles,"Follow for LA's breaking news, special reports, entertainment and more from @DailyLosAngeles",Fri Jun 20 03:22:39 +0000 2014,4,7200,192
2743327187,"Washington, D.C.",Washington Online,31729,28939,Eastern Time (US & Canada),false,en,WashingtOnline,"Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",Fri Aug 15 07:33:02 +0000 2014,31,12148,263
